COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
aboriginal social realities,social identities,journal,culture identiteit identity social culturele ethnicity
aboriginal social realities,with the white people,book,people 1788 australia employee australian condition history social white aboriginal 1900
aboriginal social realities,the australian quarterly,journal,australia government australian condition quarterly politics economic
aborigines torres strait islanders and contemporary legal issues,child abuse prevention issues,journal,national house australia issue protection clear child abuse prevention
aborigines torres strait islanders and contemporary legal issues,the journal of indigenous policy,journal,indigenous indian people government america politics policy relation north
aborigines torres strait islanders and contemporary legal issues,the aboriginal people parliament and protection in new south wales 1856 1916,book,new people australia wales government wale australian history protection parliament 1916 1856 relation aboriginal australians south
academic business skills for postgraduates,study skills handbook,book,research study handbooks handbook skill etc manual
academic business skills for postgraduates,consumer trust repair a critical literature review,article,literature consumer trust law review finance rule critical age regulation repair
academic business skills for postgraduates,aligning responsible business practices a case study,article,business computer align case study development benchmarking standard management control software responsible practice quality
academic skills for science students,the leading edge,journal,ge prospect ophysique riodiques edge pe geophysical method prospection lead
academic skills for science students,bug made to switch species rings alarm,article,check make bug alarm switch library specie ring
academic skills for science students,doing science design analysis and communication of scientific research,book,research write analysis scientific technical science communication design methodology
academic skills for science students,experiments in ecology their logical design and interpretation using analysis of variance,book,analysis logical life science design use interpretation experiment biology ecology variance
academic skills for science students,a boring test,article,profile measurement shear strength bore pressure soil test
academic skills for science students,embargoed science,book,news embargoed report science social reporter aspect journalism
academic writing,problem with plagiarism article,article,plagiarism article problem
academic writing,the students writing guide for the arts and social sciences,book,english style manual write handbook handbooks report science social rhetoric art language authorship student etc guide
academic writing,the essentials of academic writing,book,writing english write handbook academic rhetoric language essential etc manual
academic writing,moral panics the social construction of deviance,book,problem panic condition moral social deviance construction
academic writing,discourse studies reader essential excerpts,book,language languages study reader analysis excerpt discourse variation sociolinguistics essential
academic writing,rhetorical grammar grammatical choices rhetorical effects,book,english choice grammar grammatical effect rhetorical rhetoric language
academic writing,the grammar handbook,book,english usage handbook grammar handbooks language punctuation etc manual
academic writing,writing for scholars a practical guide to making sense being heard,book,writing sense english style manual write scholar make practical academic rhetoric heard language guide
academic writing,academic writing and grammar for students,book,writing manual handbook grammar academic dissertation student etc authorship
academic writing,they say,book,persuasion english write handbook handbooks say report rhetoric language etc manual
academic writing,write it right the secrets of effective writing,book,reference engelska write secret right effective skill spra ket retorik
academic writing,clueless in academe how schooling obscures the life of the mind,book,academe life obscures education state school higher mind social learn united aspect clueless scholarship
accommodation operations,amg accommodation management guide,journal,australia hotel accommodation management amg guide
accommodation operations,journal of tourism futures,journal,future travel tourism
accommodation operations,international journal of work organisation and emotion,journal,380108 international work industrial 720403 management organisational emotion psychology organisation
accommodation operations,aviation security international the journal of airport airline security,journal,aviation international airline airport security
accommodation operations,research in hospitality management,journal,research management hospitality industry
accommodation operations,cauthe 2014 tourism and hospitality in the contemporary world trends changes and complexity,book,cauthe trend tourism world change complexity contemporary hospitality 2014
accountability and collaboration,teaching exceptional diverse and at risk students in the general education classroom,book,classroom teach general inclusive exceptional diverse education learn risk disabled unite mainstreaming united child state student
accountability and collaboration,the inclusive classroom strategies for effective instruction,book,classroom inclusive strategy education management effective mainstreaming unite united instruction state
accountability and collaboration,special education perspectives,journal,special perspective australia education
accountability and collaboration,inclusive instruction evidence based practices for teaching students with disabilities,book,teach inclusive adolescent psychotherapy evidence disability learn disabled education child instruction psychology base student practice
accounting theory and governance,accounting research prospects,article,research prospect accounting ethic
accounting theory and governance,accounting forum,journal,forum accounting australia
accounting theory and governance,the a priori wars the modernisation of accounting thought,article,priori modernisation era2010 war think accounting
acquisition of human resources,hr professionals beliefs about and knowledge of assessment techniques and psychometric tests,article,knowledge check hr assessment technique professional psychometric beliefs test library
acquisition of human resources,tweet your tune,article,opinion general news commentary twitter online tweet social network tune interest
acquisition of human resources,commonsense talent management using strategic human resources to improve company performance,book,resource human strategic employee manpower selection planning company talent commonsense use improve personnel performance management
acquisition of human resources,overconfidence in personnel selection when and why unstructured interview information can hurt hiring decisions,article,hurt decision overconfidence interview unstructured selection information hiring personnel
acquisition of human resources,faking and personality assessment in personnel selection advancing models of faking,article,fake assessment model selection advance personality personnel
acquisition of human resources,web based multisource reference checking an investigation of psychometric integrity and applied benefits,article,reference check multisource benefit psychometric apply web investigation integrity base
acquisition of human resources,vikalpa,journal,decision making management vikalpa
acquisition of human resources,competencies at work providing a common language for talent management,book,common competency role motivation work talent provide language management
acquisition of human resources,relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,article,business top manager behavioral practical emotional dynamic company leadership analytical relationship dimension intelligence performance management
acquisition of human resources,what is or should be the difference between competency modeling and traditional job analysis,article,industry business job difference employee competency train analysis international guidance vocational model hospitality traditional
acquisition of human resources,the best and the rest revisiting the norm of normality of individual performance,article,check rest best normality revisit individual norm performance library
acquisition of human resources,the great eight competencies a criterion centric approach to validation,article,great competency criterion centric approach eight validation
acquisition of human resources,developing a nomological network for interview structure antecedents and consequences of the structured selection interview,article,tax technology renewable interview nomological antecedent selection source taxation consequence network structure incentive develop energy solar
acquisition of human resources,personnel selection adding value through people a changing picture,book,business people add employee picture economics selection industrial change organizational behavior personnel management value
acquisition of human resources,a review of the content criterion related and construct related validity of assessment center exercises,article,relate assessment validity criterion content review construct center exercise
acquisition of human resources,behavioural interviewing,article,motivational research non interview support interviewing behavioural trial control u gov randomize
acquisition of human resources,recruitment strategies should not be randomly selected empirically improving recruitment success and diversity in developmental psychology research,article,research check success case empirically strategy study mathematics recruitment randomly diversity education select improve psychology developmental library
act one screenwriting,writing in pictures screenwriting made mostly painless,book,reference motion writing write picture make painless skill mostly screenwriting authorship
act one screenwriting,writing the romantic comedy the art and craft of writing screenplays that sell,book,comedy screenplay motion write sell picture romantic craft film art authorship love
act one screenwriting,the screenwriters bible a complete guide to writing formatting and selling your script,book,motion screenwriter write sell television picture script complete format authorship bible guide
act one screenwriting,which lie did i tell more adventures in the screen trade,book,motion tell california angeles goldman picture trade screen lie los adventure industry 1931 william authorship
act one screenwriting,screenplay,book,large motion screenplay literary picture fiction industry book print
act one screenwriting,on the waterfront,book,motion picture budd waterfront schulberg
act one screenwriting,making a good script great,book,motion great picture make script authorship drehbuch good
act one screenwriting,scriptwriting updated new and conventional ways of writing for the screen,book,new motion conventional play write picture scriptwriting technique screen way updated authorship
acting and performance,actor training,book,actor teach perform train study act drama art audition
acting and performance,exercises for rebel artists radical performance pedagogy,book,artist teach train program study artists cultural pedagogy cross activity radical art performance rebel orientation exercise
acting and performance,school book 2,book,art teach 2 study illinois england school bristol book performance chicago
acting and performance,the theatre and its double antonin artaud translated by victor corti,book,antonin theater history corti drama translate victor century artaud double theatre criticism 20th
action learning for reflective practitioners,on reflection reflective practice for early childhood educators,book,new childhood handbook early educator education learn reflective reflection etc zealand experiential practice manual
action learning for reflective practitioners,doing and writing action research,book,research action write handbooks report etc manual
action learning for reflective practitioners,writing and doing action research,book,writing research action write report academic
acute mental health,continuum minneap minn,journal,neurology continuum study minneap diseases system minn nervous guide
acute mental health,traumatology,journal,electronic stress journal trauma psychotherapy traumatology psychological treatment psychic
acute mental health,borderline personality disorder and emotion dysregulation,journal,borderline disorder dysregulation emotion personality
acute mental health,thomas s szasz the man and his ideas,book,psychiatry man 1920 thomas control social idea szasz 2012 informal
acute mental health,shanghai archives of psychiatry,journal,mental disorder health shanghai psychiatry archive
addiction and aboriginal communities,addictions and healing in aboriginal country,book,heal country australian drug hygiene medical use health addiction aboriginal care
addiction and aboriginal communities,indigenous australia and alcohol policy meeting difference with indifference,book,meeting aborigine aspect aboriginal islander government strait social use policy economic indigenous difference substance indifference australia australian alcohol torres
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal,indigenous people pimatisiwin hygiene medical canada health native community aboriginal care
addiction and aboriginal communities,records guide vol 1 a guide to queensland government records pertaining to aboriginal and torres strait islander people,book,queensland open aborigine 1 relation aboriginal islander race government strait record advancement vol access council guide people australia history torres federal pertain
addiction and aboriginal communities,drug science policy and law,journal,research great drug law britain science narcotic control policy abuse
addiction and aboriginal communities,why warriors lie down and die towards an understanding of why the aboriginal people of arnhem land face the greatest crisis in health and education since european contact djambatj mala,book,contact warrior great territory education understand yolngu aboriginal european die crisis hygiene towards northern mala djambatj since lie face health arnhem people australian land
addiction and aboriginal communities,whats wrong with addiction,book,wrong alcoholism substance whats psychological addiction abuse behavior aspect compulsive
addiction and aboriginal communities,drinking and alcoholism in australia a power relations theory,book,theory alcoholism australia drink substance power social use relation aspect economic
addiction and aboriginal communities,janus head,journal,art head american janus
addiction and aboriginal communities,pimatisiwin a journal of indigenous and aboriginal community health,journal,indigenous australia pimatisiwin australian service health rural community aboriginal
addiction and aboriginal communities,australian journal of public health,journal,australia public australian service health community
addiction and aboriginal communities,bina goonj bridging cultures in aboriginal health,book,bridge australian condition care goonj bina hygiene medical social health aboriginal culture
adolescent health and development,pubertal development and behavior hormonal activation of social and motivational tendencies,article,conference 1997 activation motivational hormonal social child abuse pubertal offender development behavior sex treatment tendency sexual present australian institute criminology paper
adolescent health and development,how mental health smart are you analysis of responses to an australian broadcasting corporation news website quiz,article,mental smart corporation news australian analysis website response quiz health broadcast
adolescent health and development,responding to todays mental health needs of children families and schools revisiting the preservice training and preparation of school based personnel,article,today family plan school stem industry personnel base mental preparation curriculum child respond need training revisit partnership health preservice
adolescent health and development,teaching students to de stress over testing some districts are taking steps to help students better cope with test anxiety and other stresses of school,article,take anxiety teach well stress de step help school cope district test student
adolescent health and development,human brain mapping,journal,mapping brain human
adolescent health and development,the mental health of young people in australia key findings from the child and adolescent component of the national survey of mental health and well being,article,mental people adolescent national australia component well relate survey quality physical life disorder young health finding child key
adolescent health and development,the effectiveness of assertiveness training on the levels of stress anxiety and depression of high school students,article,school aspect statistic youth homeless anxiety stress depression assertiveness student self esteem effectiveness level training scale demographic rosenberg high
adolescent health and development,the role of puberty in the developing adolescent brain,article,research adolescent neurobiology puberty role brain science develop
adolescent health and development,medicine and health rhode island,journal,island rhode medicine health
adolescent health and development,journal of exercise physiology online,journal,online physiology aspect physiological exercise
adolescent health and development,accuracy of teachers in identifying elementary school students who report at risk levels of anxiety and depression,article,anxiety accuracy depression level report school elementary risk identify teacher student
adolescent health and development,perspectives and approaches to the dynamic and developmental issues in adolescent health care,article,business adolescent perspective elderly program dynamic issue company management approach health developmental care day
adolescent health and development,development of the adolescent brain implications for executive function and social cognition,article,motor adolescent executive development brain function social cognition attention psychology experimental implication
adolescent health and development,self control and grit,article,self control grit
adolescent health and development,true grit trait level perseverance and passion for long term goals predicts effectiveness and retention among novice teachers,article,among grit long term effectiveness trait level predict perseverance passion true novice teacher goal retention
adolescent health and development,exercise and mental health an exercise and sports science australia commissioned review,article,mental australia science review health commission sport exercise
adolescent health and development,the mindfulness acceptance workbook for social anxiety shyness using acceptance and commitment therapy to free yourself from fear reclaim your life,book,anxiety fear reclaim commitment therapy workbook life phobia treatment social use acceptance shyness mindfulness free bashfulness
adolescent health and development,iranian red crescent medical journal,journal,medicine crescent medical red iran iranian
adolescent health and development,school mental health,journal,mental school health
adolescent health and development,education week,journal,united state week education
adolescent health and development,the achper australia healthy lifestyles journal,journal,achper physical australia training healthy education recreation lifestyle
adolescent health and development,the effect of peer bullying education on adolescents knowledge attitudes and behaviors towards bullying,article,mental knowledge adolescent attitude effect education towards health bully behavior peer psychology
adult learning in education and work,constituent aspects of workplace guidance in secondary vet,article,workplace survey constituent u guidance skill qn secondary aspect vet
adult learning in education and work,guided reflection model how executive coaching can assist organizational leaders enhance their creativity innovation and wisdom,article,creativity enhance executive innovation wisdom organizational coach model reflection leader assist guide
adult learning in education and work,managerial coaching,article,executive managerial change organizational coach ability management
adult learning in education and work,european journal of training and development,journal,development employee train europe training european career
adult learning in education and work,american journal of educational research,journal,research educational american
adult learning in education and work,understanding adult learning in the midst of complex social liquid modernity,article,modernity computer human midst technology adult learn complex education social interaction understand liquid medium
adult learning in education and work,guided instruction,book,teach study primary material learn method mathematics instruction guide
adult learning in education and work,know thyself coaching for leadership using kolbs experiential learning theory,article,theory kolbs leadership thyself use coach experiential know learning
adult learning in education and work,guided reflection a discussion of the essential components,article,computer tell component material evolutionary discussion science reflection story essential guide
advanced business analysis and design,is development practice in new zealand organisations,article,new development survey industrial communication organization zealand organisation practice
advanced business analysis and design,the gartner group monthly research review,journal,computer research inc group forrester automation service office review gartner industry monthly
advanced business analysis and design,selection criteria for bpa tools 2h08 1h09 pages 1 8,article,tool page selection criterion 8 1 1h09 2h08 bpa
advanced business analysis and design,journal of research and practice in information technology,journal,computer research electronic technology data information process practice
advanced coastal biogeochemistry,estuarine coastal and shelf science,journal,coastal estuarine science oceanography shelf biology seashore
advanced coastal biogeochemistry,acta oecologica,journal,ecology plant oecologica acta
advanced coastal biogeochemistry,fems microbiology ecology,journal,riodiques microbiology pe fems microbiologie microbial ecology
advanced coastal biogeochemistry,chemical geology,journal,chemical mineralogical geochemistry geology chemistry
advanced coastal biogeochemistry,estuaries,journal,estuary biology estuarine
advanced coastal biogeochemistry,limnology and oceanography,journal,oceanography limnology
advanced coastal biogeochemistry,geochimica et cosmochimica acta,journal,ge meteorite acta riodiques cosmochimica geochemistry pe ochimie et geochimica
advanced coastal biogeochemistry,seagrasses biology ecology and conservation,book,herbes biology biome seagrasses marine seagrass conservation ecology decine
advanced counselling practice,the mental health handbook a cognitive behavioural approach,book,mental rehabilitation ill problem cognitive handbook therapy mentally behavioural approach health etc exercise
advanced counselling practice,the sage handbook of counselling and psychotherapy,book,counsel handbook psychotherapy sage etc manual
advanced counselling practice,an introduction to research in counselling and psychotherapy,book,research introduction counsel psychotherapy methodology
advanced counselling practice,essential research findings in counselling and psychotherapy the facts are friendly,book,research counsel fact psychotherapy friendly finding counseling essential
advanced counselling practice,the heart soul of change delivering what works in therapy,book,differential therapy strategic heart psychotherapy soul work therapeutic change deliver psychiatry
advanced counselling practice,the complete adult psychotherapy treatment planner,book,manual handbook handbooks adult psychotherapy planning complete psychiatric record treatment etc planner
advanced counselling practice,clinical case formulations matching the integrative treatment plan to the client,book,formulation match teach case study train psychotherapist model plan psychotherapy psychological clinical client integrative treatment
advanced criminal law,beyond the sext technology facilitated sexual violence and harassment against adult women,article,beyond technology harassment adult law rule violence sexting sext woman regulation sexual facilitate
advanced criminal law,dirty pictures defamation reputation and nudity,article,nudity defamation television picture law press obscenity reputation broadcast dirty
advanced criminal law,the bounding of vice prostitution and planning law,article,prostitution law plan city vice planning bound redevelopment social rule aspect regulation
advanced criminal law,legislation comment law reform decriminalization of sodomy act 1989 w a,article,sodomy act law 1989 decriminalization legislation comment reform w
advanced criminal law,less guilty by reason of adolescence developmental immaturity diminished responsibility and the juvenile death penalty,article,immaturity reason research guilty death less science adolescence responsibility delinquency diminish developmental child behaviour penalty juvenile
advanced criminal law,using laws designed to protect as a weapon prosecuting minors under child pornography laws,article,protect australia rule prosecute law design use minor child weapon pornography regulation
advanced criminal law,image based sexual abuse,article,victim australia crime image abuse imagery psychology sex base sexual
advanced criminal law,the false promise of adolescent brain science in juvenile justice,article,adolescent promise australia brain dispute law false science resolution legislation justice relation domestic juvenile
advanced criminal law,comment murder and necessity following the siamese twins litigation,article,new murder ne australia litigation australian wale u follow south siamese comment newspaper sydney necessity twin
advanced criminal law,childrens rights and traditional values,book,childrens congress israel status traditional law right child etc legal value
advanced criminal law,punishment and responsibility essays in the philosophy of law,book,philosophy great essay criminal law britain liability responsibility punishment
advanced criminal law,criminalizing revenge porn,article,criminalize criminal law porn pornography revenge reform remedy
advanced criminal law,overcriminalization the limits of the criminal law,book,philosophy general criminal law state limit united overcriminalization
advanced criminal law,the right not to be criminalized,book,ethic philosophy criminalize criminal law right moral administration ethical justice aspect
advanced criminal law,criminal laws materials and commentary on criminal law and process of new south wales,book,new australia criminal material wale commentary law procedure process south
advanced criminal law,the australian new zealand journal of criminology,journal,new australia australian criminology zealand
advanced criminal law,technology facilitated sexual violence a literature review of empirical research,article,literature research technology empirical harassment online violence review victimization sexual facilitate
advanced criminal law,editorial the politics of reaction,article,new editorial crime wale act law s61ja politics legislation rape 1900 reaction south
advanced criminal law,ohio state journal of criminal law,journal,criminal law unite united ohio state
advanced criminal law,developmental psychology washington,journal,development child washington psychology developmental
advanced criminal law,rebutting the presumption of doli incapax,article,rebut [ ] presumption 2016 53 case law v doli incapax rp appellate procedure queen hca
advanced criminal law,new directions in research on prostitution,article,new prostitution research law protection direction police rape
advanced criminal law,whose life is it anyway,article,anyway street phillip nsw may 1989 life 1979 12 1987 sydney theatre whose
advanced criminal law,conjoined twins separation as mutilation,article,conjoin wrongful life law mutilation remedy rule separation damage regulation twin
advanced criminal law,street prostitution ten facts in search of a policy,article,ten prostitution facts street law protection police policy rape search
advanced criminal law,the implications of uncertainty in the law of criminal causation for the one punch homicide offence in western australia,article,western family homicide violence one rule austl punch offence causation law crim regulation code uncertainty 281 australia criminal w implication
advanced criminal law,the thomas kelly case why a one punch law is not the answer,article,kelly case punch law thomas one answer
advanced criminal law,the homosexual advance defence and the law body nexus towards a poetics of law reform,article,poetics homosexuality role body advance law defence towards nexus reform sex homosexual
advanced criminal law,when heterosexual men kill homosexual men reflections of provocation law sexual advances and the reasonable man standard,article,provocation heterosexual criminal man law sexual kill advance reasonable standard defense men procedure reflection rule regulation homosexual
advanced criminal law,necessity private defence and the killing of mary,article,victoria mary rule private law family defence violence abuse woman necessity regulation kill
advanced criminal law,cleansing the metropolis sex work and the politics of zero tolerance,article,tolerance cleanse zero work metropolis politics sex
advanced criminal law,male sex work and society,book,prostitution popular condition work science social male prostitute sex culture society
advanced criminal law,report of the committee on homosexual offences and prostitution,book,prostitution homosexuality great offence report britain committee male homosexual
advanced criminal law,tennessee law review,journal,digest law report review tennessee etc
advanced criminal law,very young offenders and the criminal justice system are we asking the right questions,article,offender overseas federal australia criminal comparison state young right unite system justice relation question ask
advanced criminal law,protections for children before the law an empirical analysis of the age of criminal responsibility the abolition of doli incapax and the merits of a developmental immaturity defence in england and wales,article,immaturity empirical defence classify incapax merit analysis law england nation child responsibility developmental elsewhere conflict abolition united age criminal doli protection criminology wales
advanced criminal law,criminal responsibility,book,philosophy criminal law liability responsibility
advanced criminal law,beyond revenge porn the continuum of image based sexual abuse,article,continuum beyond australia image harassment regulation law porn revenge abuse rule base sexual
advanced criminal law,the age of criminal responsibility revisited,article,criminal revisit delinquency court responsibility justice age juvenile
advanced criminal law,nottingham law journal,journal,great nottingham law britain england review
advanced criminal law,provocation and homosexual advance masculinized subjects as threat masculinized subjects under threat,article,provocation queensland criminal law advance subject masculinize threat homosexual
advanced criminal law,asking for it an anatomy of provocation,article,provocation culture law ask anatomy
advanced criminal law,provocative reforms a comparative critique,article,stingel v critique law queen comparative provocative reform
advanced criminal law,the licensing of sex work regulatin an industry or enforcing public morality,article,license public work morality regulatin enforce industry sex
advanced criminal law,provocation law and facts dead women tell no tales tales are told about them,article,provocation tale stingel tell director public fact prosecution man law v holmes woman ordinary r dead test
advanced criminal law,domestic homicide and the defence of provocation a tasmanian perspective on the jealous husband and the battered wife,article,husband provocation abuse perspective regulation law family defence wife homicide violence woman reform jealous rule batter domestic tasmanian
advanced criminal law,the mythology of prostitution advocacy research and public policy,article,prostitution research advocacy mythology public policy
advanced criminal law,murder by design the feel good factor and the criminal law,article,feel murder criminal law sentence factor design criminology court good
advanced criminal law,conjoined twins the cutting edge,article,victoria edge cut conjoined science royal society twin
advanced criminal law,law text culture,journal,indigenous people australia text law communication culture
advanced criminal law,opening pandoras box pleasure consent and consequence in the production and circulation of celebrity sex videos,article,study open celebrity pleasure consent circulation consequence social society medium human pandora science sociology box sex video technology production
advanced criminal law,harvard journal of law gender,journal,discrimination gender status law legal harvard united woman sex state etc
advanced criminal law,sexting and sex offender registration do age gender and sexual orientation matter,article,offender gender sexual sexting matter age sex registration orientation
advanced criminal law,sexting how the state can prevent a moment of indiscretion from leading to a lifetime of unintended consequences for minors and young adults,article,unintended crime adult indiscretion lifetime prevent sexting consequence young social minor science lead moment state
advanced criminal law,legal and criminological psychology,journal,great criminological law britain psychological psychology legal forensic
advanced criminal law,the age of criminal responsibility developmental science and human rights perspectives,article,perspectives art human public criminal data humanity science right developmental responsibility understanding age big miscellaneous
advanced criminal law,r v secretary of state for the home department ex parte venables and thompson the age of innocence the concept of childhood in the punishment of young offenders,article,relation home dispute ex v concept law young thompson resolution legislation department offender parte innocence secretary age state childhood australia venables r domestic punishment
advanced criminal law,in search of the responsible subject history philosophy and social sciences in criminal law theory,article,theory culture philosophy research popular development criminal history law bibliography subject humanity science social responsible search
